canonical_client_name,migration_branch,branch_head_sha,artifact_paths,migration_status,client_id,identity_resolved,contact_audit_5_part,unconverted_contact_footer_evidence,entity_scope_requirements,unresolved_blocker,classification
"All Around PVC","client-migration-all-around-pvc-2026-09-08","383ae2cb1c4342593dab678b55cee90e54e5e5e2","docs/ai-workforce/client-intelligence/ALL-AROUND-PVC-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/ALL-AROUND-PVC-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","fd16ebae-a50b-4920-afe0-94c2631f8f06","YES","NO","YES","exact client only","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"AV Event Life","client-migration-av-event-life-2026-09-08","65c55627eb1eafa57a1a8161d7ee5a7620d7e4ff","docs/ai-workforce/client-intelligence/AV-EVENT-LIFE-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/AV-EVENT-LIFE-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","3b85973f-bcad-49eb-b8f1-c27f7c7f1aba","YES","NO","YES","exact client; preserve verified service-area scope","extract five-part audit; service-area conflict remains freshness-gated","NEEDS_EVIDENCE_EXTRACTION"
"Bat Hill Royale","client-migration-bat-hill-royale-2026-09-08","c32fef89b9e86e9811a093fe6a5b0971bb633529","docs/ai-workforce/client-intelligence/BAT-HILL-ROYALE-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/BAT-HILL-ROYALE-CLIENT-MARKETING-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","32bd9db3-5339-4404-825b-5a615cadec6a","YES","YES","NO","exact venue only; booking routes remain task-specific","history review remains; no contact-audit reconstruction needed","ALREADY_FINAL"
"Bloem Action Sports (Dynamics: Action Sport)","client-migration-bloem-action-sports-2026-09-08","395460b84f5a015d228dba5eaabb7e694d596331","docs/ai-workforce/client-intelligence/BLOEM-ACTION-SPORTS-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/BLOEM-ACTION-SPORTS-CLIENT-OPERATIONAL-INTELLIGENCE.md","MIGRATION_COMPLETE;HANDOFF_RECONCILIATION_IN_247","","PARTIAL_EXACT_NAME_FAIL_CLOSED","NO","YES","exact Dynamics name Action Sport; aliases remain provenance only","durable Dynamics client_id is not evidenced in reviewed repo artifacts","IDENTITY_BLOCKED"
"Bloem Marble & Granite","client-migration-bloem-marble-granite-2026-09-08","744bdef91493e932f7e9e20e81549d12321aa6bb","docs/ai-workforce/client-intelligence/BLOEM-MARBLE-GRANITE-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/BLOEM-MARBLE-GRANITE-CLIENT-MARKETING-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","89e0ad6d-e08c-4a75-8b8e-abea71af581c","YES","NO","YES","exact client only; do not import another stone supplier","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Bloem Vascular","client-migration-bloem-vascular-2026-09-08","52e4d0e9b765cb576992ce808f440a493fe9abe6","docs/ai-workforce/client-intelligence/BLOEM-VASCULAR-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/BLOEM-VASCULAR-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","2d16262d-8450-458d-ae7e-084ef9ff662d","YES","NO","YES","exact medical practice only","extract five-part audit; inaccessible evidence remains explicitly limited","NEEDS_EVIDENCE_EXTRACTION"
"Bohemia Quick Stop","client-migration-bohemia-quick-stop-2026-09-08","01fcdad0741fba507f38b7bc35b4fb60c44f2863","docs/ai-workforce/client-intelligence/BOHEMIA-QUICK-STOP-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/BOHEMIA-QUICK-STOP-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","5dfdf4bd-9d94-4cc6-9dee-0e480a2234cb","YES","NO","YES","exact Bohemia Quick Stop identity; old Quick Shop/Light naming is superseded","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Bouwer & Coetzee Attorneys","client-migration-bouwer-coetzee-attorneys-2026-09-08","98da2261a84cbbb0687c8de6456a20b0bf4f2a7f","docs/ai-workforce/client-intelligence/BOUWER-COETZEE-ATTORNEYS-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/BOUWER-COETZEE-ATTORNEYS-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/BOUWER-COETZEE-ATTORNEYS-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","8e448cf9-1534-4ba1-89a4-93e4c8b83d2f","YES","NO","YES","exact law firm only","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Braize","client-migration-braize-2026-09-08","9c379e3785422732e57946f4ab769732dbeb2a1b","docs/ai-workforce/client-intelligence/BRAIZE-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/BRAIZE-EVENT-STAFFING-CLIENT-MARKETING-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","6b67a2df-e2ab-418b-bcee-03aef5963d37","YES","NO","YES","exact event-staffing client; inactive aliases are not routing authority","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"C&L Innovations","client-migration-c-l-innovations-2026-09-08","b132069e1c40a543d466b4af53f7d3cbf21f540c","docs/ai-workforce/client-intelligence/C-L-INNOVATIONS-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/C-L-INNOVATIONS-FURNITURE-SALES-RECOVERY-2026-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","afb62c53-d6d3-4ef8-9393-def88ed899d8","YES","NO","YES","exact furniture-sales client only","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Cape Lumber","client-migration-cape-lumber-2026-09-08","dadc3e7187e6ef008308e6fee3a4cfc860eea5fb","docs/ai-workforce/client-intelligence/CAPE-LUMBER-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/CAPE-LUMBER-MARKETING-PERFORMANCE-AND-GROWTH-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;HANDOFF_RECONCILIATION_IN_247","","PARTIAL_EXACT_NAME_FAIL_CLOSED","NO","YES","exact Cape Lumber identity only","durable Dynamics client_id is not evidenced in reviewed repo artifacts","IDENTITY_BLOCKED"
